"무더위쉼터명,위도,경도,전화번호,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"망월리 마을회관,37.1497188,127.0116222,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"덕절2리 마을회관,37.1400356,127.0273148,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"동남훼미리 관리사무소동,37.1618393,126.984004,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"남수원두산 경로당,37.2049826,127.0422759,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"윗통명경로당,36.661669,128.482765,054-650-6919,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"우계리경로당,36.672622,128.465951,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"광대원경로당,36.674734,128.467452,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"갈구1리경로당,36.692825,128.488924,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"갈구2리경로당,36.6849955,128.4713928,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"하남 경로당,37.1540876,127.847832,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"외촌 경로당,37.15969,127.886956,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"송화마을 우남3차 경로당,37.1984425,127.042505,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"병점한일타운 경로당,37.1998502,127.0383081,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"병점주공 1단지 경로당,37.2072637,127.0402193,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신흑5통 경로당,36.3101627,126.5202091,041-930-4985,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"대천5동분회경로당(탑동경로당2층),36.3109954,126.5174836,041-930-4985,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"요암1통 마을회관,36.3348847,126.5668421,041-930-4985,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"동충주농협소태면지점,37.109191,127.846288,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"복탄1경로당,37.0995236,127.827476,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"야촌경로당,37.1586037,127.8639437,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"구룡경로당,37.1278357,127.8813268,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"의양3리 마을회관,36.93511,128.914868,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"춘양농협,36.93985,128.912982,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"춘양 복지회관,36.934878,128.914457,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"소천면사무소,36.9358989,129.0066035,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"주공9단지 경로당,37.213138,127.0445726,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"주공5단지 경로당,37.2101819,127.0467505,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"주공3단지 경로당,37.2099746,127.0433845,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"주공2단지 경로당,37.2088786,127.0415733,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신창2차 경로당,37.2079177,127.0475563,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"대심2리경로당,36.645153,128.435087,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"대심3리경로당,36.6505,128.444098,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"상평경로당,34.703362,126.769803,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"하평경로당,34.703659,126.775125,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"내동마을회관,34.719182,126.780464,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신기경로당,34.723184,126.78046,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"부와경로당,34.725469,126.784521,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"죽산경로당,34.72003,126.771587,061-430-3934,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"남곡3통경로당,36.3359246,126.562357,041-930-4985,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"명천8통 경로당,36.3408799,126.6025967,041-930-4964,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"명천1통 경로당,36.3415571,126.5982834,041-930-4964,,,,,,,,,,,,,,,,,,,,,,,,,,,"
